,Total Employees,Tech/No Tech,Tech Role,MH Benefits,Awareness of Company MH Care,Formal MH Discussion,MH Resources,Anonymity,Medical Leave,MH Negative Impact,PH Negative Impact,Telling Coworkers,Telling Supervisors,MH PH Equal,Observed Negative Impact,Previous Employers,PH Potential Employer,MH Potential Employer,MH Identification Career Harm,Negative Impact Coworkers,Sharing w/ Family/Friends,Prev Observed Unsupportive Response,MH Family History,Past Mental Disorder,Current Mental Disorder,Professional Diagnosis,Sought Treatment,MH Interference Treatment,MH Interference No Treatment,Age,Gender,Country,State,Position,Remote
637,3,1.0,1.0,Yes,Yes,No,No,I don't know,2,Maybe,No,Maybe,Yes,No,No,1,No,Maybe,Yes,No,Very open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,Canada,9,Back-end Developer,Never
638,2,1.0,1.0,No,I am not sure,No,No,I don't know,3,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,No,No,Yes,Yes,Very open,Yes,No,Yes,No,Yes,1,Sometimes,Not applicable to me,3,Male,USA,6,Executive Leadership,Sometimes
640,2,1.0,1.0,I don't know,No,No,No,Yes,4,Maybe,No,Maybe,No,I don't know,No,1,Yes,Yes,Yes,Maybe,Somewhat open,Maybe,No,No,No,No,1,Not applicable to me,Not applicable to me,2,Male,Other,9,Back-end Developer|DevOps/SysAdmin,Never
641,2,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,2,Maybe,Maybe,Maybe,Maybe,Yes,No,1,Yes,No,Maybe,Maybe,Somewhat not open,Maybe,I don't know,Maybe,No,No,0,Sometimes,Sometimes,3,Male,UK,9,Back-end Developer|Supervisor/Team Lead,Always
642,2,1.0,1.0,No,I am not sure,No,No,Yes,4,Maybe,Maybe,Yes,Maybe,I don't know,No,1,No,No,Yes,No,Somewhat open,No,Yes,Yes,Yes,Yes,1,Never,Sometimes,2,Male,USA,5,DevOps/SysAdmin,Sometimes
643,3,1.0,1.0,I don't know,No,No,No,I don't know,2,Maybe,No,Maybe,Yes,I don't know,No,1,No,No,Yes,Yes,Very open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Male,USA,7,Other,Never
644,6,1.0,1.0,Yes,Yes,Yes,Yes,I don't know,4,Maybe,No,Yes,Yes,Yes,No,1,Maybe,Maybe,No,No,Somewhat open,No,Yes,Yes,Maybe,Yes,1,Never,Sometimes,3,Male,UK,9,Front-end Developer|Back-end Developer|Supervisor/Team Lead,Sometimes
645,3,1.0,1.0,I don't know,I am not sure,Yes,I don't know,I don't know,2,No,No,No,Yes,I don't know,No,1,No,No,Yes,No,Somewhat open,No,No,Maybe,Maybe,No,1,Not applicable to me,Often,3,Male,USA,5,Back-end Developer,Never
648,5,1.0,1.0,I don't know,No,Yes,Yes,I don't know,0,Yes,Maybe,No,Maybe,No,No,1,No,No,Yes,Yes,Not open at all,Maybe,Yes,Yes,Maybe,Yes,1,Not applicable to me,Often,3,Other,UK,9,Other|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer,Never
649,3,1.0,1.0,Yes,No,I don't know,I don't know,I don't know,0,Maybe,No,No,Maybe,I don't know,No,1,Maybe,No,Yes,Yes,Not open at all,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,5,Male,USA,6,Back-end Developer,Sometimes
650,2,1.0,1.0,No,No,No,No,Yes,5,Yes,Yes,No,No,No,No,1,No,No,Yes,Yes,Somewhat open,Maybe,No,No,Yes,Yes,1,Rarely,Often,3,Male,Canada,9,Front-end Developer|Designer,Never
652,6,0.0,0.0,I don't know,No,I don't know,I don't know,I don't know,0,Maybe,No,No,No,I don't know,No,1,No,No,Maybe,No,Somewhat not open,Maybe,Yes,Yes,Yes,Yes,0,Not applicable to me,Sometimes,4,Male,USA,7,Front-end Developer,Sometimes
653,1,1.0,1.0,No,I am not sure,No,No,No,5,Yes,Yes,No,No,I don't know,No,1,Maybe,No,Yes,Yes,Not open at all,Maybe,Yes,Yes,No,Yes,1,Not applicable to me,Not applicable to me,2,Female,Canada,9,Front-end Developer,Sometimes
654,4,1.0,1.0,Yes,Yes,No,Yes,Yes,0,Yes,No,No,No,No,No,1,Yes,No,Yes,Maybe,Somewhat open,Maybe,Yes,Maybe,Yes,Yes,1,Rarely,Often,2,Male,USA,2,DevOps/SysAdmin|Support,Never
655,2,1.0,1.0,I don't know,I am not sure,No,I don't know,No,2,Yes,No,No,No,I don't know,No,0,Maybe,Yes,Maybe,No,Very open,No,Yes,Maybe,No,No,0,Not applicable to me,Sometimes,2,Male,USA,5,Back-end Developer,Sometimes
656,6,1.0,1.0,Yes,I am not sure,Yes,Yes,I don't know,2,Maybe,No,Maybe,Yes,I don't know,No,1,Maybe,No,Maybe,No,Somewhat open,Maybe,I don't know,Yes,Maybe,Yes,1,Rarely,Sometimes,3,Male,Canada,9,Back-end Developer,Sometimes
657,5,0.0,0.0,I don't know,No,Yes,Yes,Yes,0,No,Maybe,No,Yes,Yes,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,5,Executive Leadership|Supervisor/Team Lead,Sometimes
658,3,1.0,1.0,I don't know,No,Yes,I don't know,I don't know,1,No,No,Maybe,Yes,Yes,No,1,No,No,Maybe,No,Somewhat not open,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,5,Back-end Developer,Sometimes
659,2,1.0,1.0,Yes,I am not sure,No,No,Yes,1,No,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Often,Often,2,Male,USA,5,Executive Leadership|Supervisor/Team Lead|Sales,Sometimes
660,3,1.0,1.0,Yes,I am not sure,No,No,I don't know,3,Yes,No,No,No,No,Yes,1,No,No,Yes,Yes,Not open at all,Yes,Yes,Yes,Yes,Yes,1,Never,Sometimes,2,Female,USA,7,Back-end Developer,Never
661,5,1.0,1.0,Yes,Yes,Yes,Yes,Yes,3,No,No,Yes,Maybe,I don't know,No,1,Maybe,Yes,No,No,Somewhat open,I am not sure,I don't know,Maybe,Maybe,Yes,1,Never,Never,3,Male,UK,9,Other|Front-end Developer|Designer,Sometimes
663,2,1.0,1.0,No,I am not sure,No,No,I don't know,2,Maybe,Maybe,Yes,No,I don't know,No,1,No,No,Yes,Maybe,Not applicable to me (I do not have a mental illness),No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,3,Female,USA,5,Other,Always
664,2,1.0,1.0,No,No,I don't know,I don't know,I don't know,3,Yes,Maybe,No,No,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,I don't know,Maybe,Maybe,No,1,Rarely,Rarely,2,Male,UK,9,Back-end Developer,Never
665,2,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,3,No,No,Maybe,Maybe,I don't know,No,1,Yes,Yes,No,No,Somewhat open,Maybe,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,3,Male,USA,6,Supervisor/Team Lead|Back-end Developer,Never
666,3,1.0,1.0,Yes,Yes,No,No,Yes,4,Yes,No,Maybe,Maybe,No,Yes,1,No,No,Yes,Yes,Very open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,5,Full track,Sometimes
667,6,0.0,0.0,Yes,Yes,No,Yes,Yes,3,Maybe,No,Maybe,No,No,No,1,No,No,No,No,Very open,No,I don't know,Maybe,Yes,Yes,1,Rarely,Often,2,Male,USA,2,Full track,Sometimes
669,3,1.0,1.0,No,Yes,No,No,No,5,Maybe,No,Maybe,Maybe,I don't know,No,0,No,No,Yes,Yes,Somewhat not open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,Canada,9,Front-end Developer,Sometimes
670,3,1.0,1.0,I don't know,I am not sure,No,No,I don't know,4,Maybe,Maybe,No,No,I don't know,Yes,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,No,Maybe,No,No,1,Not applicable to me,Not applicable to me,2,Female,Canada,9,Designer|Front-end Developer,Never
671,6,0.0,0.0,Yes,I am not sure,No,I don't know,I don't know,4,Maybe,No,No,Maybe,I don't know,No,1,No,No,Yes,Yes,Somewhat open,No,Yes,Yes,No,Yes,1,Rarely,Sometimes,4,Female,USA,7,DevOps/SysAdmin|One-person shop,Sometimes
672,3,1.0,1.0,Yes,I am not sure,No,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,5,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
673,6,0.0,0.0,I don't know,No,No,I don't know,I don't know,3,Yes,Maybe,Maybe,Maybe,No,Yes,0,Maybe,No,Yes,Yes,Somewhat open,Yes,I don't know,Yes,Yes,Yes,1,Never,Often,3,Other,USA,5,Designer|Front-end Developer|Back-end Developer|DevOps/SysAdmin|Other,Sometimes
674,4,0.0,0.0,Yes,Yes,No,No,Yes,5,Yes,No,No,No,I don't know,No,1,Maybe,No,Yes,Yes,Not open at all,Maybe,I don't know,Yes,Yes,Yes,1,Often,Often,3,Male,USA,2,Support,Always
675,6,0.0,0.0,Yes,No,Yes,Yes,Yes,2,Maybe,No,No,Maybe,Yes,No,1,Maybe,No,Yes,Yes,Somewhat open,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,3,Other|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Never
677,4,1.0,1.0,Yes,No,No,Yes,Yes,1,No,No,No,Yes,I don't know,No,1,No,No,Maybe,No,Somewhat open,Maybe,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,3,Male,USA,2,Back-end Developer,Always
678,4,1.0,1.0,Yes,I am not sure,Yes,No,I don't know,2,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Maybe,No,Very open,Yes,I don't know,Maybe,Maybe,Yes,0,Not applicable to me,Sometimes,2,Female,USA,2,Full track,Always
679,3,0.0,0.0,Yes,Yes,Yes,Yes,Yes,3,Maybe,No,Yes,Yes,I don't know,Yes,1,Maybe,No,Yes,Yes,Somewhat open,Yes,I don't know,Yes,Yes,Yes,1,Sometimes,Often,3,Female,USA,5,Other,Sometimes
680,2,1.0,1.0,Yes,Yes,No,No,Yes,4,Yes,No,Maybe,Maybe,I don't know,No,1,No,No,Yes,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Female,USA,3,Other,Never
681,3,0.0,0.0,I don't know,No,No,No,I don't know,0,No,No,No,No,I don't know,No,1,Maybe,No,Maybe,Yes,Neutral,Maybe,Yes,Maybe,Maybe,Yes,1,Rarely,Often,3,Male,Canada,9,Front-end Developer,Sometimes
683,4,1.0,1.0,Yes,No,No,No,I don't know,2,Maybe,No,No,Maybe,I don't know,No,1,Maybe,No,Maybe,Maybe,Neutral,Maybe,No,Maybe,Maybe,No,0,Never,Sometimes,4,Female,USA,5,Supervisor/Team Lead|Front-end Developer,Never
684,3,0.0,0.0,Yes,Yes,No,Yes,I don't know,2,No,No,Maybe,Maybe,Yes,No,1,Maybe,Maybe,No,Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Other,9,Executive Leadership,Sometimes
685,3,1.0,1.0,Yes,Yes,Yes,Yes,I don't know,3,Yes,No,Maybe,No,Yes,No,1,No,No,Maybe,No,Very open,I am not sure,Yes,Yes,Yes,Yes,1,Not applicable to me,Often,2,Male,USA,6,Back-end Developer,Sometimes
686,6,0.0,0.0,Yes,Yes,Yes,Yes,Yes,3,No,Maybe,Maybe,No,Yes,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,5,Female,USA,4,Other,Never
687,3,0.0,0.0,I don't know,I am not sure,Yes,Yes,Yes,3,Maybe,No,Yes,Maybe,I don't know,Yes,1,Maybe,Maybe,Maybe,No,Not applicable to me (I do not have a mental illness),Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Female,USA,5,Other,Never
688,2,1.0,1.0,I don't know,No,No,No,I don't know,1,Yes,No,Yes,Yes,I don't know,No,1,No,No,Yes,Maybe,Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Netherlands,9,Back-end Developer|DevOps/SysAdmin,Never
689,1,1.0,1.0,Yes,Yes,No,No,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,No,1,No,No,Maybe,Maybe,Very open,Yes,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,3,Front-end Developer,Never
690,4,1.0,1.0,Yes,Yes,No,I don't know,I don't know,2,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Yes,Yes,Very open,Yes,Yes,Yes,Yes,Yes,1,Never,Never,3,Male,USA,2,Designer,Always
691,2,1.0,1.0,Yes,Yes,No,No,No,5,Yes,Yes,Maybe,No,No,No,0,Maybe,Maybe,Maybe,Maybe,Not open at all,Maybe,I don't know,Yes,Maybe,Yes,1,Sometimes,Sometimes,2,Male,Germany,9,Front-end Developer|Back-end Developer|DevOps/SysAdmin|Supervisor/Team Lead,Never
692,1,1.0,1.0,I don't know,No,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Yes,Maybe,No,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,6,Other,Always
693,3,1.0,1.0,I don't know,I am not sure,I don't know,I don't know,I don't know,3,No,No,Maybe,Yes,Yes,No,1,No,No,Maybe,Maybe,Somewhat not open,No,I don't know,Yes,Yes,No,0,Sometimes,Sometimes,3,Male,USA,6,Supervisor/Team Lead|Back-end Developer,Always
694,6,1.0,1.0,Yes,No,No,I don't know,Yes,5,Maybe,No,No,No,No,Yes,1,Yes,No,Yes,Yes,Not open at all,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,UK,9,Supervisor/Team Lead|Support,Sometimes
695,6,1.0,1.0,Yes,I am not sure,Yes,Yes,I don't know,0,Maybe,No,Maybe,Maybe,No,No,1,Maybe,No,Yes,Yes,Somewhat open,Yes,Yes,Maybe,No,No,0,Sometimes,Sometimes,3,Male,Other,9,DevOps/SysAdmin|Other,Sometimes
697,1,1.0,1.0,I don't know,No,No,I don't know,No,5,Maybe,Maybe,No,No,No,Yes,1,Maybe,Yes,Yes,Yes,Not applicable to me (I do not have a mental illness),Yes,I don't know,No,No,No,1,Sometimes,Not applicable to me,2,Female,Other,9,Other,Always
699,6,0.0,0.0,I don't know,No,No,No,I don't know,5,Maybe,Maybe,No,Yes,No,No,1,Maybe,Maybe,Yes,Yes,Not applicable to me (I do not have a mental illness),Yes,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,Canada,9,Front-end Developer,Never
701,2,0.0,0.0,No,No,No,No,I don't know,4,Maybe,No,Yes,No,I don't know,No,1,No,No,Yes,Maybe,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,6,Male,USA,2,Front-end Developer,Sometimes
702,1,0.0,0.0,I don't know,I am not sure,No,No,I don't know,5,Maybe,Maybe,No,No,Yes,No,0,No,No,Yes,Yes,Not applicable to me (I do not have a mental illness),I am not sure,Yes,Maybe,Maybe,No,1,Not applicable to me,Not applicable to me,2,Male,USA,2,Back-end Developer|Support|DevOps/SysAdmin,Sometimes
703,3,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Maybe,Maybe,Neutral,Yes,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Netherlands,9,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never
704,3,1.0,1.0,No,No,No,No,I don't know,2,No,No,Yes,Yes,No,No,1,Maybe,Maybe,No,Maybe,Somewhat not open,Maybe,No,No,No,No,0,Sometimes,Often,2,Male,Other,9,Front-end Developer,Sometimes
705,4,1.0,1.0,No,No,Yes,Yes,No,2,Yes,No,No,Yes,I don't know,Yes,1,No,Maybe,Yes,Yes,Somewhat not open,Yes,No,Yes,No,No,1,Sometimes,Sometimes,3,Male,Other,9,Executive Leadership,Never
706,2,1.0,1.0,No,No,No,No,I don't know,4,Maybe,No,No,No,I don't know,No,1,Yes,No,Yes,Yes,Not open at all,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never
707,2,1.0,1.0,I don't know,No,No,I don't know,I don't know,4,Yes,Maybe,No,Maybe,I don't know,No,1,Maybe,Maybe,Yes,Yes,Somewhat not open,Maybe,I don't know,Yes,Maybe,Yes,1,Never,Sometimes,4,Male,USA,3,Front-end Developer,Sometimes
709,2,0.0,0.0,I don't know,I am not sure,No,I don't know,I don't know,0,Maybe,No,No,No,I don't know,No,1,Maybe,No,Yes,Yes,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,2,Supervisor/Team Lead|Designer|Front-end Developer|Support,Always
710,5,0.0,0.0,Yes,I am not sure,Yes,Yes,No,5,Yes,No,Maybe,No,No,No,1,No,No,Yes,Yes,Not open at all,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,5,Female,USA,2,Support,Never
713,6,1.0,1.0,Yes,Yes,I don't know,I don't know,I don't know,3,No,No,Yes,Yes,Yes,No,1,Yes,Yes,No,No,Very open,No,Yes,Yes,No,Yes,1,Sometimes,Sometimes,3,Male,USA,1,Other,Always
714,6,0.0,0.0,Not eligible for coverage / N/A,I am not sure,No,Yes,I don't know,5,Yes,No,No,No,No,No,1,Maybe,Maybe,Yes,Yes,Not open at all,Maybe,I don't know,No,Maybe,No,0,Not applicable to me,Not applicable to me,4,Male,UK,9,Front-end Developer,Never
715,1,1.0,1.0,No,I am not sure,No,Yes,I don't know,1,No,No,Yes,Yes,Yes,No,0,Yes,Maybe,Yes,Maybe,Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,3,Female,USA,7,Full track,Always
717,6,0.0,0.0,No,No,Yes,Yes,Yes,4,No,No,Yes,Maybe,No,No,1,No,Maybe,Yes,No,Somewhat open,Yes,Yes,Yes,No,Yes,1,Rarely,Sometimes,4,Male,UK,9,Supervisor/Team Lead,Never
718,4,1.0,1.0,Yes,Yes,No,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,No,No,No,No,Somewhat not open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Female,USA,2,Other,Always
720,4,1.0,1.0,I don't know,I am not sure,Yes,I don't know,I don't know,1,No,No,Yes,Maybe,I don't know,No,0,No,No,Yes,Yes,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,5,Full track,Never
721,3,1.0,1.0,Yes,Yes,Yes,No,No,2,No,No,Maybe,Yes,Yes,No,1,No,No,Yes,Yes,Neutral,Maybe,No,Yes,Yes,Yes,0,Sometimes,Often,4,Male,Other,9,Executive Leadership|Supervisor/Team Lead|Designer,Never
722,3,1.0,1.0,No,No,Yes,No,I don't know,0,Yes,Yes,No,No,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,Yes,No,Yes,Yes,1,Sometimes,Sometimes,3,Male,USA,8,Other,Always
724,3,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,4,Maybe,No,Maybe,Maybe,No,No,1,Maybe,No,No,Maybe,Somewhat open,I am not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,7,Other,Sometimes
725,6,0.0,0.0,I don't know,No,No,No,I don't know,4,Maybe,Maybe,No,No,No,No,1,Maybe,No,Yes,Yes,Somewhat not open,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,4,Support|Front-end Developer|Designer,Sometimes
726,2,0.0,0.0,Not eligible for coverage / N/A,Yes,No,No,Yes,4,Yes,No,No,No,I don't know,Yes,1,No,No,Yes,Yes,Neutral,Yes,Yes,Maybe,Yes,Yes,0,Rarely,Often,2,Female,USA,2,Other|Support|Back-end Developer|Front-end Developer|Designer,Sometimes
729,6,0.0,0.0,Yes,Yes,Yes,Yes,Yes,3,No,No,Maybe,Yes,Yes,No,1,No,No,Maybe,Yes,Somewhat not open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,6,Other,Never
730,1,1.0,1.0,No,I am not sure,I don't know,I don't know,I don't know,4,No,No,No,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat not open,Maybe,I don't know,No,Maybe,No,0,Not applicable to me,Not applicable to me,2,Male,Canada,9,Front-end Developer,Always
731,6,0.0,0.0,I don't know,I am not sure,No,I don't know,I don't know,3,No,No,No,Maybe,I don't know,No,1,Maybe,No,Maybe,Maybe,Neutral,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,2,Male,UK,9,Back-end Developer,Never
732,6,1.0,1.0,Yes,Yes,No,I don't know,I don't know,2,Maybe,No,No,No,No,No,0,Maybe,No,Yes,Yes,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Male,USA,1,Back-end Developer,Never
733,4,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,0,No,No,Yes,Yes,Yes,No,1,No,No,Yes,Yes,Very open,Yes,No,Maybe,Maybe,Yes,0,Sometimes,Often,3,Male,USA,8,Supervisor/Team Lead,Always
737,5,1.0,1.0,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,No,No,Somewhat open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,3,Male,Other,9,Other|Designer|Front-end Developer,Always
738,6,0.0,0.0,Yes,I am not sure,No,Yes,Yes,2,No,No,Yes,Yes,I don't know,No,1,Maybe,Maybe,No,No,Very open,Yes,I don't know,Maybe,No,No,0,Rarely,Never,3,Male,UK,9,Back-end Developer,Sometimes
740,6,1.0,1.0,Yes,Yes,Yes,Yes,Yes,2,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,Yes,Yes,Somewhat open,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Canada,9,Front-end Developer,Always
741,2,1.0,1.0,I don't know,I am not sure,Yes,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,No,Very open,No,Yes,Yes,Yes,Yes,1,Never,Often,3,Female,USA,5,Support,Sometimes
742,3,1.0,1.0,Yes,Yes,No,No,I don't know,1,No,No,Maybe,Yes,I don't know,No,1,Maybe,Maybe,No,Maybe,Very open,No,Yes,Yes,No,Yes,1,Never,Sometimes,3,Female,USA,1,Other|Front-end Developer,Sometimes
744,4,1.0,1.0,Yes,Yes,No,No,I don't know,4,Maybe,No,No,Maybe,I don't know,No,1,Yes,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Female,USA,2,Back-end Developer,Always
745,6,1.0,1.0,Yes,I am not sure,No,Yes,Yes,1,No,No,Yes,Yes,No,No,1,Yes,Maybe,Maybe,Maybe,Somewhat open,No,Yes,Yes,No,No,1,Never,Sometimes,6,Male,USA,3,Back-end Developer,Sometimes
750,6,0.0,0.0,No,I am not sure,No,No,I don't know,5,Yes,Yes,No,No,No,Yes,1,No,No,Yes,Yes,Somewhat not open,Yes,Yes,Yes,Yes,Yes,1,Often,Often,2,Other,UK,9,Support,Never
754,2,1.0,1.0,No,No,No,No,No,1,No,No,Yes,Yes,Yes,No,1,No,Yes,Maybe,No,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,1,Male,Other,9,Front-end Developer|Back-end Developer|Support|Supervisor/Team Lead,Always
755,6,1.0,1.0,Yes,No,No,No,Yes,2,Maybe,No,No,No,No,Yes,1,No,No,Yes,Yes,Somewhat open,Yes,Yes,Maybe,Maybe,No,0,Rarely,Often,4,Male,USA,1,Other,Always
756,6,0.0,0.0,Yes,Yes,Yes,Yes,Yes,1,Maybe,No,Maybe,Yes,I don't know,No,0,Maybe,Maybe,No,No,Somewhat open,No,Yes,Maybe,No,Yes,1,Never,Sometimes,4,Female,USA,5,Supervisor/Team Lead,Sometimes
757,2,1.0,1.0,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,No,Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,Australia,9,Front-end Developer,Sometimes
758,6,0.0,0.0,Yes,Yes,No,Yes,Yes,2,Maybe,No,No,No,No,No,1,Yes,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,6,Designer,Never
759,6,0.0,0.0,I don't know,I am not sure,Yes,Yes,Yes,3,No,No,Yes,Yes,Yes,No,1,Yes,Yes,No,No,Very open,Maybe,No,Yes,Yes,Yes,1,Never,Sometimes,3,Male,UK,9,Support,Never
760,3,1.0,1.0,I don't know,No,No,I don't know,I don't know,0,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,I am not sure,I don't know,Maybe,Maybe,No,0,Rarely,Sometimes,3,Male,USA,4,Supervisor/Team Lead|Front-end Developer|Back-end Developer|Dev Evangelist/Advocate,Sometimes
761,3,1.0,1.0,Yes,I am not sure,No,No,I don't know,5,Maybe,Maybe,Maybe,No,No,No,1,Maybe,No,Yes,Yes,Somewhat open,Yes,I don't know,Yes,Yes,Yes,1,Rarely,Often,4,Female,USA,4,Designer,Sometimes
762,2,1.0,1.0,Yes,Yes,Yes,No,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,No,Maybe,Somewhat open,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Canada,9,One-person shop,Sometimes
763,4,1.0,1.0,I don't know,No,No,I don't know,I don't know,4,No,No,Maybe,Yes,Yes,No,1,No,No,Yes,Yes,Somewhat open,Yes,I don't know,Yes,No,Yes,1,Sometimes,Often,3,Female,USA,4,Support|Back-end Developer,Sometimes
765,4,1.0,1.0,Yes,Yes,No,No,I don't know,0,Maybe,Maybe,No,No,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,1,Sometimes,Sometimes,3,Male,USA,8,Supervisor/Team Lead|DevOps/SysAdmin|Front-end Developer|Back-end Developer,Sometimes
767,6,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,2,Maybe,Maybe,No,Maybe,Yes,No,1,Yes,Maybe,Maybe,Maybe,Very open,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,Other,9,Supervisor/Team Lead,Sometimes
770,3,1.0,1.0,No,I am not sure,No,No,I don't know,4,Maybe,No,No,Maybe,No,No,1,Yes,No,Maybe,Maybe,Somewhat not open,No,Yes,Maybe,No,No,1,Not applicable to me,Not applicable to me,2,Male,USA,3,Back-end Developer,Sometimes
771,2,1.0,1.0,Yes,No,No,No,I don't know,0,No,No,Yes,Yes,Yes,No,0,No,No,No,No,Somewhat open,No,Yes,Yes,No,Yes,1,Never,Often,2,Male,USA,5,Back-end Developer,Always
772,4,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,5,Yes,Maybe,Maybe,Maybe,I don't know,No,0,No,No,Yes,Yes,Not applicable to me (I do not have a mental illness),No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,7,Other,Never
